C_HLEVEL,C_FULLNAME,C_NAME,C_SYNONYM_CD,C_VISUALATTRIBUTES,C_TOTALNUM,C_BASECODE,C_METADATAXML,C_FACTTABLECOLUMN,C_TABLENAME,C_COLUMNNAME,C_COLUMNDATATYPE,C_OPERATOR,C_DIMCODE,C_COMMENT,C_TOOLTIP,M_APPLIED_PATH,UPDATE_DATE,DOWNLOAD_DATE,IMPORT_DATE,SOURCESYSTEM_CD,VALUETYPE_CD,M_EXCLUSION_CD,C_PATH,C_SYMBOL
2,\SEDoH\CES - Drinking Water Quality Indicator\, Drinking Water Quality Indicator,N,LA ,,SEDoH:DWQI,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:DWQI</TestID><TestName>Drinking Water Quality Indicator</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>index value</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\CES - Drinking Water Quality Indicator\,"","The drinking water contaminant indicator considers measured chemical and bacterial contaminant levels; presence of multiple contaminants; and any past water system water-quality violations. CalEnviroScreen data (2005&ndash;2013) were aggregated from census blocks to tracts, weighted by population, and the state percentile value for each contaminant and violation type was summed for the overall score. The index ranges from 0 upwards, with higher values indicating greater concentrations of multiple contaminants.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Population Density\, Population Density [persons/square km],N,LA ,,SEDoH:PopDen,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PopDen</TestID><TestName>Population Density</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>persons / sq km</NormalUnits><ConvertingUnits><Units>persons / sq mi</Units><MultiplyingFactor>0.386102</MultiplyingFactor></ConvertingUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Population Density\,"",Population density measures the number of persons per geographical area by dividing the total population by the total land area. It varies considerably across urban and rural areas and also across neighborhoods within cities. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Unemployment Rate - Age 16 or Over\, Unemployment Rate - Age 16 or Over,N,LA ,,SEDoH:UnempRate,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:UnempRate</TestID><TestName>Unemployment Rate - Age 16 or Over</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Unemployment Rate - Age 16 or Over\,"",Estimated unemployment rate for persons age 16 and older. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Child Dependency Ratio\,Burden - Child Dependency Ratio,N,LA ,,SEDoH:ChildDR,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:ChildDR</TestID><TestName>Burden - Child Dependency Ratio</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>child-age persons / working-age person</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Child Dependency Ratio\,"","The Child Dependency Ratio compares the size of the child population (age 17 and under) to the size of the working-age population (18&ndash;64) to measure the social and economic impact of age structures. The ratio ranges from zero upwards; the higher the number, the greater the burden of supporting children on working people. Values from ACS.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Old Age Dependency Ratio\,Burden - Old Age Dependency Ratio,N,LA ,,SEDoH:OldAgeDR,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:OldAgeDR</TestID><TestName>Burden - Old Age Dependency Ratio</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>senior-age persons / working-age person</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Old Age Dependency Ratio\,"","The Old Age Dependency Ratio compares the size of the senior population (age 65 and over) to the size of the working-age population (18&ndash;64) to measure the social and economic impact of age structures. The ratio ranges from zero upwards; the higher the number, the greater the burden of supporting seniors on working people. Values from ACS.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Pct HS Grads - Age 25 or Over\,Education - Pct HS Grads - Age 25 or Over,N,LA ,,SEDoH:PctHSGrads,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctHSGrads</TestID><TestName>Education - Pct HS Grads - Age 25 or Over</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Pct HS Grads - Age 25 or Over\,"",Educational attainment; estimated percentage of the population age 25 and over who are high school graduates. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Pct w/Bachelor's Degree - Age 25 or Over\,Education - Pct w/Bachelor's Degree - Age 25 or Over,N,LA ,,SEDoH:PctBachelors,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctBachelors</TestID><TestName>Education - Pct w/Bachelor's Degree - Age 25 or Over</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Pct w/Bachelor's Degree - Age 25 or Over\,"",Educational attainment; estimated percentage of the population age 25 and over who hold a Bachelor's degree. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Pct Hispanic\,Ethnicity - Pct Hispanic,N,LA ,,SEDoH:PctHispanic,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctHispanic</TestID><TestName>Ethnicity - Pct Hispanic</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Pct Hispanic\,"","Percentage of the population who identify as of Hispanic or Latino origin. Values from ACS. For Census data, ethnicity and race are two separate and distinct concepts.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Pct Non-Hispanic\,Ethnicity - Pct Non-Hispanic,N,LA ,,SEDoH:PctNonHispanic,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctNonHispanic</TestID><TestName>Ethnicity - Pct Non-Hispanic</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Pct Non-Hispanic\,"","Percentage of the population who do not identify as of Hispanic or Latino origin. Values from ACS. For Census data, ethnicity and race are two separate and distinct concepts.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\USDA - Low-Access Tract?\,Food -  Low-Access Tract?,N,LA ,,SEDoH:LowFoodAccessTract,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:LowFoodAccessTract</TestID><TestName>Food - Low-Access Tract?</TestName><DataType>Enum</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues><Val description=""Low-Access Tract"">Y</Val><Val description=""Not a Low-Access Tract"">N</Val></EnumValues><UnitValues><NormalUnits></NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\USDA - Low-Access Tract?\,"","Low food access tract at 1 mile for urban areas or 10 miles for rural areas. The USDA Food Access Research Atlas considers a census tract to have low food access if a significant number (500) or share (&ge; 33%) of individuals in the tract lives beyond a specific distance from a supermarket, supercenter, large grocery store, or other source of healthy and affordable food.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\USDA - Pct Population with Low Access\,Food -  Pct Population with Low Access,N,LA ,,SEDoH:PctLowFoodAccess,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctLowFoodAccess</TestID><TestName>Food - Pct Population with Low Access</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\USDA - Pct Population with Low Access\,"","USDA Food Access Research Atlas data (2015) measure access to healthy and affordable food based on distance thresholds. This indicator estimates the percentage of the census tract population that live beyond 1 mile from the nearest supermarket for urban areas, or 10 miles for rural areas.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Pct Households that Receive SNAP\,Food - Pct Households that Receive SNAP,N,LA ,,SEDoH:PctSNAP,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctSNAP</TestID><TestName>Food - Pct Households that Receive SNAP</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Pct Households that Receive SNAP\,"",Percentage of households receiving food stamps/SNAP. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\Housing\,Housing,N,FA ,0,"","",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Housing\,"",Housing,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Housing\ACS - Median Year Built\,Housing - Median Year Built,N,LA ,,SEDoH:HsngMedianYear,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:HsngMedianYear</TestID><TestName>Housing - Median Year Built</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>year</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Housing\ACS - Median Year Built\,"","Median year housing units built, per ACS. Housing quality is affected by a home's age, maintenance, structure, and design. Poor air quality; lack of insulation; and potential exposure to lead, asbestos, mold, or carbon monoxide are examples of factors associated with negative health outcomes.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Housing\ACS - Pct Occupied Units Lacking Complete Kitchen\,Housing - Pct Occupied Units Lacking Complete Kitchen,N,LA ,,SEDoH:PctHsngLackKitchen,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctHsngLackKitchen</TestID><TestName>Housing - Pct Occupied Units Lacking Complete Kitchen</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Housing\ACS - Pct Occupied Units Lacking Complete Kitchen\,"","Percentage of occupied housing units that lack complete kitchen facilities, per ACS",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
